Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2001,8,2,4,1153,1137,1312,1301,AS,75,N793Aâ,139,144,119,11,16,SEA,JNU,909,3,17,0,NA,0,NA,NA,NA,NA,NA
2005,10,22,6,1510,1427,1802,1742,EV,4492,N701EV,112,135,97,20,43,OMA,ATL,821,8,7,0,,0,0,0,20,0,0
2003,5,8,4,1755,1755,1900,1900,WN,1939,N632,185,185,173,0,0,LIT,PHX,1136,5,7,0,NA,0,NA,NA,NA,NA,NA
2003,10,28,2,1709,1714,1754,1814,HP,769,N184AW,105,120,93,-20,-5,PHX,SMF,647,5,7,0,,0,0,0,0,0,0
1988,3,6,7,1646,1646,1740,1741,AA,607,NA,54,55,NA,-1,0,OKC,DFW,175,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,7,27,5,1450,1450,1748,1750,WN,513,N653@@,118,120,107,-2,0,BNA,PBI,758,3,8,0,NA,0,NA,NA,NA,NA,NA
2001,5,31,4,1812,1650,1954,1825,WN,1612,N641@@,102,95,86,89,82,MDW,BHM,570,3,13,0,NA,0,NA,NA,NA,NA,NA
2007,10,21,7,1957,1935,2257,2246,OO,2876,N494CA,120,131,99,11,22,MKE,EWR,725,4,17,0,,0,0,0,0,0,0
2002,12,27,5,1729,1702,1918,1854,NW,332,N523US,109,112,79,24,27,DTW,BOS,632,9,21,0,NA,0,NA,NA,NA,NA,NA
1991,1,8,2,1005,1005,1110,1109,US,1123,NA,65,64,NA,1,0,BUF,EWR,282,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,4,16,7,1451,1439,2011,2004,AA,1346,N432AA,200,205,163,7,12,SJC,DFW,1438,26,11,0,,0,0,0,0,0,0
2006,7,12,3,1516,1514,1518,1520,DL,1089,N929DL,62,66,45,-2,2,ATL,PNS,272,5,12,0,,0,0,0,0,0,0
2006,12,25,1,1201,1155,1356,1414,UA,477,N568UA,235,259,219,-18,6,ORD,SAN,1723,1,15,0,,0,0,0,0,0,0
2001,9,28,5,927,834,1407,1337,AA,1896,N442A1,160,183,143,30,53,SNA,DFW,1205,8,9,0,NA,0,NA,NA,NA,NA,NA
2006,11,24,5,2359,2359,59,109,YV,2792,N437YV,60,70,45,-10,0,LAS,PSP,173,4,11,0,,0,0,0,0,0,0
1996,1,18,4,1214,1210,1301,1303,NW,1539,N926RC,47,53,33,-2,4,DTW,CMH,155,4,10,0,NA,0,NA,NA,NA,NA,NA
2006,2,28,2,1112,1116,1410,1432,UA,976,N577UA,118,136,101,-22,-4,LAX,DEN,862,6,11,0,,0,0,0,0,0,0
1989,9,20,3,1449,1449,1534,1540,DL,1857,NA,105,111,NA,-6,0,SLC,SJC,585,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1992,3,8,7,1946,1945,2048,2048,AA,1610,NA,62,63,NA,0,1,RDU,DCA,227,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,1,27,3,1227,1225,1415,1400,DL,864,N920DE,108,95,71,15,2,ATL,CVG,373,6,31,0,NA,0,NA,NA,NA,NA,NA
1992,2,29,6,1501,1500,1708,1735,NW,259,NA,247,275,NA,-27,1,MEM,SFO,1807,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2002,1,28,1,1156,1200,1523,1528,AA,2153,N3BNA1,147,148,124,-5,-4,MIA,SJU,1045,6,17,0,NA,0,NA,NA,NA,NA,NA
1990,6,22,5,716,720,1210,1231,US,1132,NA,174,191,NA,-21,-4,DEN,CLT,1337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,5,31,1,812,815,939,958,US,238,N240AU,87,103,65,-19,-3,BOS,IAD,413,4,18,0,NA,0,NA,NA,NA,NA,NA
2007,5,22,2,1043,1045,1302,1300,AA,309,N562AA,259,255,235,2,-2,ORD,SAN,1723,4,20,0,,0,0,0,0,0,0
1998,9,22,2,2158,2200,604,611,UA,74,N619UA,306,311,270,-7,-2,SFO,EWR,2565,6,30,0,NA,0,NA,NA,NA,NA,NA
2007,10,9,2,653,700,817,828,FL,848,N991AT,84,88,57,-11,-7,MCO,ATL,403,13,14,0,,0,0,0,0,0,0
1990,3,21,3,730,730,817,825,WN,3,NA,47,55,NA,-8,0,DAL,HOU,239,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,9,25,6,558,600,711,717,UA,2001,N395UA,73,77,54,-6,-2,SFO,LAX,337,9,10,0,NA,0,NA,NA,NA,NA,NA
2001,8,14,2,2055,2055,2340,2345,WN,230,N601@@,105,110,91,-5,0,LAX,ABQ,677,4,10,0,NA,0,NA,NA,NA,NA,NA
1996,8,28,3,1101,1050,1319,1310,UA,1822,N9011U,78,80,66,9,11,ORD,BUF,473,3,9,0,NA,0,NA,NA,NA,NA,NA
2004,11,18,4,1702,1633,1807,1740,MQ,4127,N623AE,125,127,97,27,29,SYR,ORD,607,10,18,0,,0,0,0,27,0,0
2002,3,7,4,1645,1650,1930,1946,AA,1728,N5ERAA,105,116,80,-16,-5,DEN,DFW,641,13,12,0,NA,0,NA,NA,NA,NA,NA
1991,2,25,1,1758,1800,2022,2044,CO,497,NA,264,284,NA,-22,-2,LGA,DEN,1619,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,8,21,3,910,910,1041,1051,DL,607,NA,91,101,NA,-10,0,CLE,ATL,554,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,9,25,1,1447,1505,1701,1727,XE,2489,N11187,134,142,96,-26,-18,CVG,EWR,569,19,19,0,,0,0,0,0,0,0
2005,1,7,5,1510,1520,1701,1708,US,1111,N404US,111,108,97,-7,-10,RSW,CLT,600,6,8,0,,0,0,0,0,0,0
2002,11,4,1,557,600,819,816,NW,371,N779NC,142,136,107,3,-3,BOS,DTW,632,10,25,0,NA,0,NA,NA,NA,NA,NA
1999,8,13,5,1800,1635,2000,1826,DL,965,N404DA,120,111,97,94,85,RSW,ATL,515,10,13,0,NA,0,NA,NA,NA,NA,NA
1987,11,30,1,1948,1950,2053,2100,PI,719,NA,65,70,NA,-7,-2,ORH,BWI,330,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1996,7,28,7,1106,1105,1224,1220,UA,2317,N388UA,78,75,57,4,1,SFO,ONT,363,2,19,0,NA,0,NA,NA,NA,NA,NA
1997,10,30,4,1930,1925,1957,1950,WN,334,N335,87,85,72,7,5,ABQ,LAS,487,2,13,0,NA,0,NA,NA,NA,NA,NA
1994,5,12,4,1825,1825,2017,2017,CO,792,NA,112,112,NA,0,0,MCI,IAH,643,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2005,10,25,2,1354,1400,1459,1503,HP,748,N636AW,65,63,40,-4,-6,BUR,LAS,223,7,18,0,,0,0,0,0,0,0
1991,5,21,2,1505,1505,1558,1608,TW,685,NA,53,63,NA,-10,0,STL,CID,228,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2000,3,20,1,803,805,910,907,DL,1591,N535DA,67,62,51,3,-2,BOI,SLC,291,5,11,0,NA,0,NA,NA,NA,NA,NA
1998,7,12,7,1140,1140,1323,1330,WN,1001,N627,103,110,93,-7,0,BNA,HOU,670,5,5,0,NA,0,NA,NA,NA,NA,NA
1994,3,4,5,1551,1530,2138,2112,UA,354,NA,227,222,NA,26,21,DEN,BOS,1754,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,10,1,2202,2200,2333,2316,US,548,NA,91,76,NA,17,2,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,5,7,7,1929,1930,2059,2104,OO,3983,N461SW,90,94,64,-5,-1,SLC,ABQ,493,7,19,0,,0,0,0,0,0,0
1989,4,2,7,1631,1630,1920,1918,AA,1074,NA,109,108,NA,2,1,ABQ,DFW,569,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1995,7,3,1,1728,1730,1855,1900,UA,739,N369UA,147,150,132,-5,-2,DEN,SJC,948,4,11,0,NA,0,NA,NA,NA,NA,NA
2004,1,8,4,1141,1145,1237,1244,UA,395,N326UA,116,119,99,-7,-4,DFW,DEN,641,3,14,0,,0,0,0,0,0,0
2006,6,11,7,735,735,858,900,WN,1688,N620SW,83,85,72,-2,0,OAK,SAN,446,1,10,0,,0,0,0,0,0,0
1992,1,6,1,1009,1010,1133,1148,US,1491,NA,84,98,NA,-15,-1,DTW,CLT,500,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2002,2,21,4,905,905,1100,1110,WN,1451,N799@@,115,125,106,-10,0,BNA,HOU,670,4,5,0,NA,0,NA,NA,NA,NA,NA
2004,4,16,5,1550,1525,1750,1638,XE,2602,N15948,120,73,35,72,25,EWR,BWI,169,5,80,0,,0,0,0,51,0,21
1990,9,15,6,620,620,906,910,DL,579,NA,106,110,NA,-4,0,ORD,ATL,606,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1997,7,3,4,1058,1050,1333,1345,DL,2499,N309DL,155,175,139,-12,8,BDL,MCO,1050,6,10,0,NA,0,NA,NA,NA,NA,NA
1995,4,28,5,1300,1300,1347,1350,WN,280,N26,47,50,40,-3,0,DAL,TUL,237,2,5,0,NA,0,NA,NA,NA,NA,NA
1990,6,20,3,1404,1405,1516,1521,UA,1195,NA,72,76,NA,-5,-1,ONT,SFO,363,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,6,13,4,1536,1536,1626,1632,HP,1249,NA,110,116,NA,-6,0,DEN,PHX,602,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1995,9,6,3,1127,1058,1202,1144,AA,1571,N423AA,95,106,76,18,29,DFW,ABQ,569,6,13,0,NA,0,NA,NA,NA,NA,NA
2003,10,13,1,930,910,1034,1025,EV,4160,N903EV,64,75,46,9,20,ATL,LEX,303,3,15,0,,0,0,0,0,0,0
1999,7,28,3,1124,1128,1250,1257,UA,2452,N922UA,86,89,58,-7,-4,SFO,EUG,451,3,25,0,NA,0,NA,NA,NA,NA,NA
2000,6,14,3,1210,1210,1656,1650,WN,1509,N680,166,160,141,6,0,LAS,OMA,1099,2,23,0,NA,0,NA,NA,NA,NA,NA
1993,3,12,5,823,817,932,925,AA,2078,NA,69,68,NA,7,6,DSM,ORD,299,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,8,17,2,1246,1135,1430,1310,CO,1843,N77303,104,95,71,80,71,EWR,CMH,462,6,27,0,NA,0,NA,NA,NA,NA,NA
1994,7,11,1,701,700,811,810,NW,661,NA,70,70,NA,1,1,MSY,MEM,349,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1998,10,14,3,1700,1700,1748,1755,WN,43,N51,48,55,39,-7,0,DAL,HOU,239,4,5,0,NA,0,NA,NA,NA,NA,NA
2004,3,24,3,1428,1430,1729,1737,OO,6676,N918SW,119,127,307,-8,0,FAT,DEN,844,7,5,0,,0,0,0,0,0,0
1991,6,15,6,2025,2025,45,45,DL,720,NA,200,200,NA,0,0,DFW,LGA,1389,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,23,3,1448,1441,1702,1704,UA,1427,NA,134,143,NA,-2,7,IAD,TPA,810,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,4,25,7,1854,1900,2118,2127,AS,687,N977AS,144,147,123,-9,-6,LAS,SEA,866,6,15,0,,0,0,0,0,0,0
2002,12,31,2,2223,2230,635,629,CO,749,N37267,312,299,291,6,-7,SFO,EWR,2565,8,13,0,NA,0,NA,NA,NA,NA,NA
1996,7,30,2,700,700,857,853,CO,689,N59630,117,113,98,4,0,STL,IAH,668,5,14,0,NA,0,NA,NA,NA,NA,NA
2006,8,7,1,1923,1920,2152,2155,WN,740,N718SW,89,95,80,-3,3,ELP,DAL,562,3,6,0,,0,0,0,0,0,0
2006,1,18,3,1239,1225,1503,1442,UA,163,N553UA,144,137,122,21,14,LAX,PDX,834,2,20,0,,0,14,0,7,0,0
2005,2,14,1,1328,1330,1540,1544,MQ,4110,N852AE,72,74,47,-4,-2,ORD,CMH,296,4,21,0,,0,0,0,0,0,0
1992,5,29,5,1800,1759,2023,2015,AA,177,NA,203,196,NA,8,1,DCA,DFW,1192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,9,18,3,1611,1520,1744,1700,TW,403,NA,213,220,NA,44,51,STL,LAX,1593,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2003,9,19,5,1500,1500,1645,1700,WN,629,N647,105,120,90,-15,0,PHX,OAK,646,5,10,0,,0,0,0,0,0,0
1997,8,7,4,830,830,1341,1335,NW,158,N161US,191,185,161,6,0,SEA,MSP,1399,9,21,0,NA,0,NA,NA,NA,NA,NA
1997,9,3,3,820,820,935,1000,WN,981,N321,195,220,182,-25,0,MCI,LAX,1363,5,8,0,NA,0,NA,NA,NA,NA,NA
2001,4,23,1,1850,1835,2019,2015,DL,1532,#NAME?,89,100,68,4,15,ATL,PIT,526,7,14,0,NA,0,NA,NA,NA,NA,NA
2006,9,8,5,1452,1445,1558,1600,WN,726,N620SW,66,75,51,-2,7,FLL,JAX,318,5,10,0,,0,0,0,0,0,0
1990,12,1,6,1513,1513,1607,1615,AA,1323,NA,54,62,NA,-8,0,BNA,MEM,200,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2002,8,29,4,1101,1040,1901,1855,US,100,N745UW,300,315,275,6,21,SAN,PHL,2369,11,14,0,NA,0,NA,NA,NA,NA,NA
1990,4,10,2,956,955,1238,1236,CO,486,NA,102,101,NA,2,1,ELP,IAH,667,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2007,3,9,5,915,915,1025,1043,OH,5058,N408CA,130,148,114,-18,0,CVG,OKC,756,4,12,0,,0,0,0,0,0,0
1990,12,25,2,901,901,958,959,HP,855,NA,57,58,NA,-1,0,LAS,SAN,258,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2003,6,23,1,617,621,806,809,NW,705,N341NB,109,108,81,-3,-4,BDL,DTW,548,11,17,0,,0,0,0,0,0,0
1993,5,7,5,1639,1640,1846,1840,NW,455,NA,127,120,NA,6,-1,MSP,MEM,700,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1996,1,4,4,635,635,739,740,WN,1204,N322,64,65,52,-1,0,TUL,STL,351,2,10,0,NA,0,NA,NA,NA,NA,NA
2004,12,17,5,1838,1830,2120,2111,OO,6462,N713SK,102,101,83,9,8,SFO,SLC,599,7,12,0,,0,0,0,0,0,0
2001,9,13,4,NA,1124,NA,1622,AA,812,NKNO,NA,178,NA,NA,NA,SAN,DFW,1171,0,0,1,NA,0,NA,NA,NA,NA,NA
2003,1,6,1,1633,1635,1835,1838,AS,608,N785AS,122,123,106,-3,-2,PDX,LAS,762,5,11,0,NA,0,NA,NA,NA,NA,NA
2007,12,1,6,1516,1432,1641,1559,OO,6397,N943SW,85,87,67,42,44,ONT,SFO,363,4,14,0,,0,0,0,0,0,42
2002,8,14,3,1239,1200,1331,1255,WN,24,N399,52,55,41,36,39,HOU,DAL,239,3,8,0,NA,0,NA,NA,NA,NA,NA
2005,9,24,6,2009,2013,2010,2022,EV,4255,N723EV,61,69,40,-12,-4,ATL,VPS,264,7,14,0,,0,0,0,0,0,0
2003,10,29,3,1420,1430,1640,1657,UA,356,N950UA,140,147,128,-17,-10,IAH,ORD,925,5,7,0,,0,0,0,0,0,0
1992,2,15,6,1514,1515,1934,1920,AA,1210,NA,200,185,NA,14,-1,ELP,ORD,1236,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1995,6,15,4,1718,1709,2051,2034,AA,1474,N2CRAA,153,145,127,17,9,DFW,CMH,927,3,23,0,NA,0,NA,NA,NA,NA,NA
1992,5,14,4,834,836,1130,1142,CO,585,NA,176,186,NA,-12,-2,EWR,RSW,1068,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,8,7,2,NA,1620,NA,1720,WN,751,NKNO,NA,60,NA,NA,NA,BUR,SJC,296,0,0,1,NA,0,NA,NA,NA,NA,NA
2002,10,29,2,901,910,1002,959,NW,501,N8925E,121,109,84,3,-9,IND,MSP,503,9,28,0,NA,0,NA,NA,NA,NA,NA
2003,6,9,1,1350,1353,1523,1530,NW,1109,N622NW,93,97,68,-7,-3,DTW,RIC,456,9,16,0,,0,0,0,0,0,0
2005,4,10,7,2110,2110,2200,2200,WN,1356,N635SW,50,50,32,0,0,LAS,ONT,197,5,13,0,,0,0,0,0,0,0
1996,4,12,5,111,115,602,550,AA,2302,N504AA,171,155,147,12,-4,ONT,DFW,1189,14,10,0,NA,0,NA,NA,NA,NA,NA
1998,9,6,7,NA,1535,NA,1742,NW,415,UNKNOW,NA,127,NA,NA,NA,BOS,DTW,632,0,0,1,NA,0,NA,NA,NA,NA,NA
1987,12,21,1,2249,2214,34,2348,TW,89,NA,165,154,NA,46,35,STL,ABQ,934,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,10,2,3,1222,1220,1527,1510,DL,676,NA,185,170,NA,17,2,PBI,BOS,1197,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,12,20,1,854,840,1044,1030,NW,189,N330NW,170,170,136,14,14,DCA,MSP,931,6,28,0,NA,0,NA,NA,NA,NA,NA
1999,2,21,7,1254,1255,1459,1442,TW,544,N410EA,125,107,113,17,-1,MSY,STL,604,4,8,0,NA,0,NA,NA,NA,NA,NA
2004,9,3,5,1605,1550,1658,1650,WN,1084,N302SW,53,60,42,8,15,GEG,PDX,279,1,10,0,,0,0,0,0,0,0
2006,7,3,1,919,920,1106,1102,US,926,N424US,107,102,84,4,-1,CLT,BUF,546,7,16,0,,0,0,0,0,0,0
2004,3,26,5,1638,1648,1820,1853,MQ,3648,N668MQ,162,185,142,-33,-10,GSO,DFW,999,10,10,0,,0,0,0,0,0,0
1997,5,10,6,1958,1958,2125,2133,TW,493,N54350,87,95,70,-8,0,STL,OKC,462,4,13,0,NA,0,NA,NA,NA,NA,NA
2005,5,26,4,1903,1855,2109,2115,UA,356,N203UA,66,80,45,-6,8,ORD,CVG,264,6,15,0,,0,0,0,0,0,0
2003,12,27,6,1225,1225,1515,1510,WN,431,N726,170,165,155,5,0,TPA,PVD,1137,2,13,0,,0,0,0,0,0,0
1990,8,27,1,2133,2040,2244,2144,US,1786,NA,71,64,NA,60,53,PHL,ROC,257,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2006,3,7,2,1919,1920,2126,2129,XE,2471,N13997,127,129,90,-3,-1,IAH,BNA,657,7,30,0,,0,0,0,0,0,0
1999,10,29,5,1436,1430,1813,1804,UA,1725,N7462U,157,154,141,9,6,ORD,RSW,1120,3,13,0,NA,0,NA,NA,NA,NA,NA
1988,4,26,2,1610,1610,1655,1645,HP,442,NA,45,35,NA,10,0,PHX,TUS,110,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2003,10,31,5,1115,1115,1239,1240,EV,4448,N857AS,84,85,67,-1,0,MEM,DFW,432,7,10,0,,0,0,0,0,0,0
1993,3,25,4,1916,1915,2149,2159,US,868,NA,153,164,NA,-10,1,TPA,LGA,1011,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,5,17,3,1705,1700,1935,1926,UA,380,NA,90,86,NA,9,5,ORD,BUF,473,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2004,4,22,4,2020,2021,2119,2130,MQ,3481,N621MQ,59,69,48,-11,-1,DFW,MAF,309,2,9,0,,0,0,0,0,0,0
2002,4,24,3,1256,1300,1339,1342,UA,1265,N918UA,103,102,87,-3,-4,MCI,DEN,533,7,9,0,NA,0,NA,NA,NA,NA,NA
2001,11,17,6,1501,1505,1801,1722,NW,1828,N967N@,120,77,99,39,-4,MSP,AZO,426,5,16,0,NA,0,NA,NA,NA,NA,NA
1989,7,17,1,1637,1637,2156,2205,DL,328,NA,199,208,NA,-9,0,SLC,ATL,1589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1999,8,31,2,1207,1210,1530,1546,NW,1478,N8957E,143,156,124,-16,-3,MSY,DTW,926,9,10,0,NA,0,NA,NA,NA,NA,NA
1991,8,5,1,933,930,1057,1053,UA,1705,NA,84,83,NA,4,3,SFO,LAX,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2000,1,23,7,1242,1235,1448,1452,AA,809,N844AA,186,197,161,-4,7,MIA,DFW,1121,11,14,0,NA,0,NA,NA,NA,NA,NA
1999,6,10,4,2214,0,2259,0,UA,1659,N1829U,105,113,83,101,109,BWI,ORD,622,10,12,0,NA,0,NA,NA,NA,NA,NA
1994,7,22,5,905,905,1048,1058,NW,69,NA,103,113,NA,-10,0,LGA,DTW,501,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,3,26,1,1424,1423,1544,1545,UA,2509,N9241,80,82,55,-1,1,SMF,LAX,373,9,16,0,NA,0,NA,NA,NA,NA,NA
1993,2,7,7,1300,1300,1422,1429,DL,949,NA,82,89,NA,-7,0,MSY,DFW,448,NA,NA,0,NA,0,NA,NA,NA,NA,NA
2001,1,24,3,1850,1851,2008,2006,US,243,N898,78,75,54,2,-1,GSO,PIT,304,8,16,0,NA,0,NA,NA,NA,NA,NA
